,Unnamed: 0,VendorID,passenger_count,trip_distance,RatecodeID,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee,cbd_congestion_fee
25333,25333,2,2.0,17.9,2.0,230,132,1,70.0,0.0,0.5,10.0,6.94,1.0,91.69,2.5,0.0,0.75
26126,26126,1,1.0,20.7,2.0,230,132,2,70.0,3.25,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
26127,26127,1,1.0,17.6,2.0,230,132,2,70.0,3.25,0.5,0.0,1.0,1.0,75.75,2.5,0.0,0.75
26243,26243,1,1.0,16.9,2.0,230,132,1,70.0,3.25,0.5,16.35,6.94,1.0,98.04,2.5,0.0,0.75
26449,26449,2,3.0,18.02,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
27206,27206,1,1.0,18.0,2.0,230,132,1,70.0,3.25,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
27522,27522,2,2.0,17.91,2.0,230,132,1,70.0,0.0,0.5,14.95,0.0,1.0,89.7,2.5,0.0,0.75
27603,27603,2,1.0,17.2,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
28731,28731,2,4.0,18.33,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
28851,28851,1,1.0,17.1,2.0,230,132,1,70.0,3.25,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
29115,29115,2,2.0,16.73,2.0,230,132,4,-70.0,0.0,-0.5,0.0,-6.94,-1.0,-81.69,-2.5,0.0,-0.75
29116,29116,2,2.0,16.73,2.0,230,132,4,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
29446,29446,2,4.0,17.18,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
29852,29852,2,4.0,16.6,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
30113,30113,2,2.0,17.38,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
30129,30129,2,2.0,16.7,2.0,230,132,1,70.0,0.0,0.5,17.54,12.94,1.0,105.23,2.5,0.0,0.75
30406,30406,2,4.0,17.71,5.0,230,132,1,95.0,0.0,0.0,19.85,0.0,1.0,119.1,2.5,0.0,0.75
30423,30423,2,4.0,16.86,2.0,230,132,2,70.0,0.0,0.5,0.0,0.0,1.0,74.75,2.5,0.0,0.75
30514,30514,2,1.0,16.63,5.0,230,132,1,85.0,0.0,0.0,19.24,6.94,1.0,115.43,2.5,0.0,0.75
30685,30685,2,1.0,16.93,2.0,230,132,1,70.0,0.0,0.5,16.34,6.94,1.0,98.03,2.5,0.0,0.75
30866,30866,2,2.0,16.7,2.0,230,132,1,70.0,0.0,0.5,15.55,6.94,1.0,97.24,2.5,0.0,0.75
33463,33463,2,3.0,19.05,2.0,230,132,1,70.0,0.0,0.5,14.95,0.0,1.0,89.7,2.5,0.0,0.75
33795,33795,2,2.0,16.58,2.0,230,132,3,-70.0,0.0,-0.5,0.0,-6.94,-1.0,-81.69,-2.5,0.0,-0.75
33796,33796,2,2.0,16.58,2.0,230,132,3,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
33833,33833,2,3.0,17.83,2.0,230,132,2,70.0,0.0,0.5,0.0,6.94,1.0,81.69,2.5,0.0,0.75
33862,33862,2,2.0,16.81,2.0,230,132,1,70.0,0.0,0.5,18.69,0.0,1.0,93.44,2.5,0.0,0.75
